"ensg" "gene"
"4376" "ENSG00000000419" "DPM1"
"29624" "ENSG00000000419" "CDGIE"
"29625" "ENSG00000000419" "MPDS"
"13891" "ENSG00000000457" "SCYL3"
"54209" "ENSG00000000457" "PACE-1"
"54210" "ENSG00000000457" "PACE1"
"1822" "ENSG00000000460" "C1orf112"
"5489" "ENSG00000000938" "FGR"
"32496" "ENSG00000000938" "c-fgr"
"32497" "ENSG00000000938" "c-src2"
"32498" "ENSG00000000938" "p55-Fgr"
"32499" "ENSG00000000938" "p55c-fgr"
"2854" "ENSG00000000971" "CFH"
"25522" "ENSG00000000971" "AHUS1"
"25523" "ENSG00000000971" "AMBP1"
"25524" "ENSG00000000971" "ARMD4"
"25525" "ENSG00000000971" "ARMS1"
"5717" "ENSG00000001036" "FUCA2"
"33065" "ENSG00000001036" "dJ20N2.5"
"5920" "ENSG00000001084" "GCLC"
"33546" "ENSG00000001084" "GLCL"
"33547" "ENSG00000001084" "GLCLC"
"10162" "ENSG00000001167" "NFYA"
"44786" "ENSG00000001167" "NF-YA"
"15375" "ENSG00000001460" "STPG1"
"58184" "ENSG00000001460" "C1orf201"
"58185" "ENSG00000001460" "MAPO2"
"10200" "ENSG00000001461" "NIPAL3"
"44872" "ENSG00000001461" "DJ462O23.2"
"44873" "ENSG00000001461" "NPAL3"
"44874" "ENSG00000001461" "SLC57A5"
"4826" "ENSG00000001561" "ENPP4"
"30867" "ENSG00000001561" "NPP4"
"13978" "ENSG00000001617" "SEMA3F"
"54444" "ENSG00000001617" "SEMA-IV"
"54445" "ENSG00000001617" "SEMA4"
"54446" "ENSG00000001617" "SEMAK"
"2865" "ENSG00000001626" "CFTR"
"25565" "ENSG00000001626" "ABC35"
"25566" "ENSG00000001626" "ABCC7"
"25567" "ENSG00000001626" "CF"
"25568" "ENSG00000001626" "CFTR/MRP"
"669" "ENSG00000001629" "ANKIB1"
"3816" "ENSG00000001630" "CYP51A1"
"28098" "ENSG00000001630" "CP51"
"28099" "ENSG00000001630" "CYP51"
"28101" "ENSG00000001630" "LDM"
"28102" "ENSG00000001630" "P450-14DM"
"8018" "ENSG00000001631" "KRIT1"
"39245" "ENSG00000001631" "CAM"
"39246" "ENSG00000001631" "CCM1"
"12874" "ENSG00000002016" "RAD52"
"1376" "ENSG00000002330" "BAD"
"22150" "ENSG00000002330" "BBC2"
"22151" "ENSG00000002330" "BCL2L8"
"8192" "ENSG00000002549" "LAP3"
"39751" "ENSG00000002549" "HEL-S-106"
"39753" "ENSG00000002549" "LAPEP"
"39754" "ENSG00000002549" "PEPS"
"6969" "ENSG00000002587" "HS3ST1"
"36368" "ENSG00000002587" "3OST"
"36369" "ENSG00000002587" "3OST1"
"767" "ENSG00000002726" "AOC1"
"20501" "ENSG00000002726" "DAO1"
"20502" "ENSG00000002726" "KAO"
"17580" "ENSG00000002745" "WNT16"
"6708" "ENSG00000002746" "HECW1"
"35644" "ENSG00000002746" "NEDL1"
"8822" "ENSG00000002822" "MAD1L1"
"40996" "ENSG00000002822" "TP53I9"
"40997" "ENSG00000002822" "TXBP181"
"8207" "ENSG00000002834" "LASP1"
"39794" "ENSG00000002834" "Lasp-1"
"39795" "ENSG00000002834" "MLN50"
"14895" "ENSG00000002919" "SNX11"
"16206" "ENSG00000002933" "TMEM176A"
"60144" "ENSG00000002933" "GS188"
"60145" "ENSG00000002933" "HCA112"
"60146" "ENSG00000002933" "MS4B1"
"8809" "ENSG00000003056" "M6PR"
"40963" "ENSG00000003056" "CD-M6PR"
"40964" "ENSG00000003056" "CD-MPR"
"40965" "ENSG00000003056" "MPR46"
"40966" "ENSG00000003056" "MPR-46"
"3778" "ENSG00000003137" "CYP26B1"
"27993" "ENSG00000003137" "CYP26A2"
"27994" "ENSG00000003137" "P450RAI-2"
"27995" "ENSG00000003137" "P450RAI2"
"27996" "ENSG00000003137" "RHFCA"
"7088" "ENSG00000003147" "ICA1"
"36708" "ENSG00000003147" "ICA69"
"36709" "ENSG00000003147" "ICAp69"
"3874" "ENSG00000003249" "DBNDD1"
"588" "ENSG00000003393" "ALS2"
"20136" "ENSG00000003393" "ALS2CR6"
"20137" "ENSG00000003393" "ALSJ"
"20138" "ENSG00000003393" "IAHSP"
"20139" "ENSG00000003393" "PLSJ"
"2167" "ENSG00000003400" "CASP10"
"23766" "ENSG00000003400" "ALPS2"
"23767" "ENSG00000003400" "FLICE-2"
"23768" "ENSG00000003400" "FLICE2"
"23769" "ENSG00000003400" "MCH4"
"2863" "ENSG00000003402" "CFLAR"
"25556" "ENSG00000003402" "CASH"
"25557" "ENSG00000003402" "CASP8AP1"
"25558" "ENSG00000003402" "CLARP"
"25559" "ENSG00000003402" "Casper"
"25560" "ENSG00000003402" "FLAME"
"15910" "ENSG00000003436" "TFPI"
"59534" "ENSG00000003436" "EPI"
"59535" "ENSG00000003436" "LACI"
"59537" "ENSG00000003436" "TFPI1"
"10036" "ENSG00000003509" "NDUFAF7"
"44403" "ENSG00000003509" "C2orf56"
"44404" "ENSG00000003509" "MidA"
"44405" "ENSG00000003509" "PRO1853"
"13033" "ENSG00000003756" "RBM5"
"52048" "ENSG00000003756" "H37"
"52049" "ENSG00000003756" "LUCA-15"
"52050" "ENSG00000003756" "LUCA15"
"52051" "ENSG00000003756" "RMB5"
"9685" "ENSG00000003987" "MTMR7"
"14662" "ENSG00000003989" "SLC7A2"
"56314" "ENSG00000003989" "ATRC2"
"56316" "ENSG00000003989" "HCAT2"
"895" "ENSG00000004059" "ARF5"
"13776" "ENSG00000004139" "SARM1"
"53891" "ENSG00000004139" "HsTIR"
"53892" "ENSG00000004139" "MyD88-5"
"53893" "ENSG00000004139" "SAMD2"
"53894" "ENSG00000004139" "SARM"
"53895" "ENSG00000004139" "hSARM1"
"12044" "ENSG00000004142" "POLDIP2"
"49420" "ENSG00000004142" "PDIP38"
"11973" "ENSG00000004399" "PLXND1"
"49211" "ENSG00000004399" "PLEXD1"
"472" "ENSG00000004455" "AK2"
"19773" "ENSG00000004455" "ADK2"
"2507" "ENSG00000004468" "CD38"
"24546" "ENSG00000004468" "ADPRC1"
"5529" "ENSG00000004478" "FKBP4"
"32598" "ENSG00000004478" "FKBP52"
"32599" "ENSG00000004478" "FKBP59"
"32600" "ENSG00000004478" "HBI"
"32601" "ENSG00000004478" "Hsp56"
"7760" "ENSG00000004487" "KDM1A"
"38629" "ENSG00000004487" "AOF2"
"38630" "ENSG00000004487" "BHC110"
"38631" "ENSG00000004487" "CPRF"
"38632" "ENSG00000004487" "KDM1"
"38633" "ENSG00000004487" "LSD1"
"13034" "ENSG00000004534" "RBM6"
"52052" "ENSG00000004534" "3G2"
"52053" "ENSG00000004534" "DEF-3"
"52055" "ENSG00000004534" "HLC-11"
"52056" "ENSG00000004534" "NY-LU-12"
"2096" "ENSG00000004660" "CAMKK1"
"23591" "ENSG00000004660" "CAMKKA"
"13093" "ENSG00000004700" "RECQL"
