"gene" "baseline_oe1_total5" "baseline_oe2_total5" "baseline_oe3_total5" "baseline_oe4_total5"
"1" "ENSG00000000419" 0 0 1 0
"2" "ENSG00000000457" 0 1 0 0
"3" "ENSG00000000460" 0 0 1 0
"4" "ENSG00000000938" 0 1 0 0
"5" "ENSG00000000971" 0 1 0 0
"6" "ENSG00000001036" 0 0 1 0
"7" "ENSG00000001084" 0 1 0 0
"8" "ENSG00000001167" 0 1 0 0
"9" "ENSG00000001460" 0 0 0 0
"10" "ENSG00000001461" 0 0 1 0
"11" "ENSG00000001561" 0 1 0 0
"12" "ENSG00000001617" 1 0 0 0
"13" "ENSG00000001626" 0 0 0 0
"14" "ENSG00000001629" 1 0 0 0
"15" "ENSG00000001630" 0 0 0 1
"16" "ENSG00000001631" 0 1 0 0
"17" "ENSG00000002016" 0 0 0 1
"18" "ENSG00000002330" 0 0 0 1
"19" "ENSG00000002549" 0 0 1 0
"20" "ENSG00000002587" 0 0 1 0
"21" "ENSG00000002726" 0 0 0 1
"22" "ENSG00000002745" 0 0 0 1
"23" "ENSG00000002746" 1 0 0 0
"24" "ENSG00000002822" 0 0 0 1
"25" "ENSG00000002834" 1 0 0 0
"26" "ENSG00000002919" 0 0 0 1
"27" "ENSG00000002933" 0 0 1 0
"28" "ENSG00000003056" 0 0 1 0
"29" "ENSG00000003137" 1 0 0 0
"30" "ENSG00000003147" 0 1 0 0
"31" "ENSG00000003249" 0 0 0 1
"32" "ENSG00000003393" 0 0 1 0
"33" "ENSG00000003400" 0 0 0 0
"34" "ENSG00000003402" 1 0 0 0
"35" "ENSG00000003436" 0 1 0 0
"36" "ENSG00000003509" 0 0 0 0
"37" "ENSG00000003756" 1 0 0 0
"38" "ENSG00000003987" 0 0 0 1
"39" "ENSG00000003989" 0 0 0 1
"40" "ENSG00000004059" 1 0 0 0
"41" "ENSG00000004139" 0 0 0 1
"42" "ENSG00000004142" 0 1 0 0
"43" "ENSG00000004399" 1 0 0 0
"44" "ENSG00000004455" 0 0 0 1
"45" "ENSG00000004468" 0 0 0 1
"46" "ENSG00000004478" 0 1 0 0
"47" "ENSG00000004487" 1 0 0 0
"48" "ENSG00000004534" 1 0 0 0
"49" "ENSG00000004660" 0 0 1 0
"50" "ENSG00000004700" 0 0 0 0
"51" "ENSG00000004766" 0 1 0 0
"52" "ENSG00000004776" 0 0 1 0
"53" "ENSG00000004777" 0 1 0 0
"54" "ENSG00000004779" 1 0 0 0
"55" "ENSG00000004799" 0 0 0 0
"56" "ENSG00000004809" 0 0 0 0
"57" "ENSG00000004838" 0 0 1 0
"58" "ENSG00000004846" 0 0 0 0
"59" "ENSG00000004864" 0 0 0 0
"60" "ENSG00000004866" 1 0 0 0
"61" "ENSG00000004897" 1 0 0 0
"62" "ENSG00000004939" 0 1 0 0
"63" "ENSG00000004948" 0 0 0 1
"64" "ENSG00000004975" 0 0 1 0
"65" "ENSG00000005001" 0 0 1 0
"66" "ENSG00000005007" 1 0 0 0
"67" "ENSG00000005020" 0 0 1 0
"68" "ENSG00000005059" 0 0 0 0
"69" "ENSG00000005073" 1 0 0 0
"70" "ENSG00000005075" 0 0 0 1
"71" "ENSG00000005100" 0 0 1 0
"72" "ENSG00000005102" 0 0 0 1
"73" "ENSG00000005108" 1 0 0 0
"74" "ENSG00000005156" 0 0 1 0
"75" "ENSG00000005175" 0 0 1 0
"76" "ENSG00000005187" 0 0 0 1
"77" "ENSG00000005189" 0 0 0 1
"78" "ENSG00000005194" 0 0 1 0
"79" "ENSG00000005238" 1 0 0 0
